trial,val_accuracy,ce_loss,lr,d,rank,temperature,batch_size,seq_len
0,0.75,0.7030354857444763,0.0005611516415334506,32,4,1.7992642186624028,16,32
1,0.625,0.6469812273979187,0.0002310201887845295,96,16,0.7092407909780627,32,32
2,0.78125,0.6494964957237244,0.0015304852121831463,64,16,1.7125960221746916,32,128
3,0.625,0.6715288281440734,0.00011715937392307068,32,16,0.7772816832882905,8,128
4,0.6875,0.6556333661079407,0.00015030900645056822,96,16,1.0351299900403839,16,128
5,0.65625,0.6519916176795959,0.005959416389658954,64,8,1.7140247500760926,32,64
6,0.6875,0.6974945545196534,0.0031797918701442596,64,4,1.4655691049357353,32,128
7,0.6875,0.7183867454528808,0.0012636890851748731,64,8,1.3679381855804618,8,64
8,0.78125,0.6497977495193481,0.0014912719964045823,64,16,1.997835229536116,32,128
9,0.65625,0.6612114548683167,0.0004957547237088657,64,16,1.1272699503119312,32,128
